Country	ISO3	src	update	xls_saved	lat	lng	Accelerate_R&D_for_vaccines_and_treatment	Additional_funding/financing_for_the_health_system	Encourage_telemedicine,_smarter_use_of_data_for_surveillance_and_tracking	Government_links_for_more_details	Improve_affordability_of_diagnostics_and_treatment_for_all	Increase_access_to_mental_health_services	Increase_supplies_of_diagnostic_tests,_protective_equipment,_ventilators,_essential_medicines	Mobilise_and_protect_health_workers	Optimise_hospital_beds_and_spaces_for_diagnostics_and_treatments	Protection_for_the_elderly	sources
Argentina	ARG				-33.166	-64.31	The Ministry of Science and Technology has opened an extraordinary call for applications for R&D in a wide variety of areas that can help tackling the pandemic. 		The MoH developed a mobile phone application called CuidAR that enables self-evaluation of symptoms, provides care and prevention tools, and indicates how to act in confirmed or ruled out cases of COVID-19. The government also created a centralised database to organise the information collected through the application. Teleconsultations have been set up by the National Agency for Disabilitiy for people with auditory disability. While the quarantine is in place, the government has authorised the issue of medication prescriptions through e-mail, fax, text messages or web applicationts.		Prices for personal care, drugs and medical products have been fixed for 30 days. The diagnostic test is free or patients complying with the definition set by the MoH.		The government is cooperating with domestic equipment producers and laboratories to increase their supply and has purchased 31,000 reagents to start decentralised testing throughout the country as of March 30. Exports of medical equipment necessary for the treatment of COVID infected patients require prior authorisation from the government and imports of medical supplies and vaccines are exempted from import duties until the end of the emergency situation. The government distributed 194 ventilators across the country. On May 5, the National Government launched a new Strategic Testing Device for Coronavirus in the Field of Argentina (DETeCTAr). This initiative aims to intensify the search for people with symptoms of COVID-19 for their diagnosis, isolation and care in the area with the highest presence of the virus: the AMBA and the Autonomous City of Buenos Aires. On April 24, the Ministry of Health announced a health surveillance study to evaluate the proportion of people with positive serology for COVID-19. For the research, part of the 170,000 rapid tests acquired by the National Ministry of Health will be used, and in this first stage it will focus on public transport. The taking of samples will be carried out over 18 years of age who have not had symptoms during the last 21 days, is anonymous, and does not have a diagnostic role.	All workers in the health sector will receive a monthly bonus of 75 USD from April until July 2020. At the same time, the government has created a centralised registry for doctors, nurses, pharmacists, etc to volunteer for working in the response to COVID-19. 	The construction of 12 new emergency hospitals has been announced that introduce 560 new beds into the system. Hospitals from universities and the armed forces were integrated into the network to respond to COVID-19. The health system disposes of 8500 Intensive Care Units, which are supposed to be increased to 10,000.	All people over 60 years old was granted a paid leave from work by the government, excluding workers considered "essential" (e.g. health workers). A specific free-of-charge telephone line was created for the elderly.	
Australia	AUS				-24.578	133.582	The Australian government provides through the Medical Research Future Fund (MRFF) AUD 8M for research to identify and develop antivirals and AUD 2M for research into a vaccine. The Therapeutic Goods Administration, the national regulatory agency, has adopted an emergency exemption to allow rapid supply of COVID-19 diagnostic tests.<br>The Australian Government has funded or will fund the following R&D initiatives in response to the COVID-19 pandemic:  - $13 million to fast-track research into treatments from the Medical Research Future Fund (MRFF) via three open competitive grant opportunities:      a)  $8 million to identify and develop antiviral therapies for people infected with COVID-19 ($3 million will     initially be provided to test up to 10 antiviral therapies to test proof of concept; a further $5 million then available for rapid advancement of the most promising candidates).     b)  $5 million for clinical trials to better treat and manage COVID-19 patients with severe acute respiratory distress.  -  $2 million to the MRFF (Medical Research Future Fund) for a COVID-19 vaccine.   		Federal Govt. commited AUS 669 million to expand Medicare-subsidised telehealth for primary health care.  In addition, the Government:  • Has added new Telehealth items too Medicare, which can only be bulk-billed (i.e. no OOP expense).  • Is allowing prescribers to provide a digital image of a prescription (e.g. via phone or fax) to pharmacists for vulnerable patients who have undergone a telehealth consultation (a paper prescription must be provided within 15 days) • Has introduced fast-tracking implementation of electronic prescribing (e-Prescribing) for up to 80% of general practices and community pharmacies by May 2020.     <br>In late April, the Australian Government introduced the COVIDSafe contact tracing app. Downloading the app is voluntary. 	https://www.health.gov.au/resources/collections/coronavirus-covid-19-national-health-plan-resources  Federal Govt announcements:   https://www.australia.gov.au/  Aged care policies:   https://www.health.gov.au/sites/default/files/documents/2020/03/covid-19-national-health-plan-aged-care-aged-care-preparedness.pdf  https://www.health.gov.au/sites/default/files/documents/2020/03/coronavirus-covid-19-information-for-older-australians_1.pdf  TGA and R&D Funding:  https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/fast-tracking-research-into-treatments-for-covid-19  https://www.tga.gov.au/media-release/tga-response-coronavirus-covid-19	Temporary Medicare Benefits Schedule (MBS) and Department of Veterans’ Affairs (DVA) items will allow doctors, nurses, midwives and mental health professionals to deliver services via telehealth, provided those services are bulk billed. Telehealth services will be available to:- - people isolating themselves at home on the advice of a medical practitioner or in accordance with home isolation guidance issued by the AHPPC; - people who meet the testing guidelines for COVID-19; - people aged over 70; - Aboriginal and Torres Strait Islander people aged over 50; - people with chronic health conditions or who are immunocompromised; and - parents with new babies and people who are pregnant. People in isolation or quarantine for COVID-19 can see any eligible health provider through new telehealth items. Patients in vulnerable groups can additionally see a health provider via telehealth for a non-COVID-19 matter if they have seen that provider, or another provider within the same practice, face-to-face at least once in the previous 12 months.<br>A new temporary item added to the Medicare Benefits Schedule (MBS) to provide accessible and rapid lab testing of severe acute respiratory syndrome coronavirus 2, the virus which causes COVID-19. A test can be obtained through a referral from a GP, a respiratory clinic or an onsite hospital emergency department or on the referral of any medical practitioner.	Investment of $74 million over 2019-20 and 2020-21 to bolster phone and online support services, digital peer-support, a mental health and wellbeing program for frontline health workers, and expanding some existing services.  A COVID-19 support section on Australia's mental health information website.	Local manufacturers have been asked to switch production to provide essential equipment such as ventilators (e.g. Ford). Responsibility for increasing local production lies with the Industry Minister who is assessing the viability of manufacturers to produce needed equipment. <br>The ACCC (Australian Competition & Consumer Commission) has granted interim authorisation to the Medical Technology Association of Australia (the MTAA) to allow its members and other groups, such as suppliers or distributors of medical equipment, to share information between each other, co-ordinate orders and supply requests, prioritise requests, and jointly tender to supply COVID-19 medical equipment (e.g. ventilators, testing kits, personal protective equipment). 	<br>The Australian Health Practitioner Regulation Agency (AHPRA) announced 24 March 2020 that they are working with state and territory health departments to prioritise registration for medical practitioners, nurses, midwives, paramedics and pharmacists as a matter of urgency. AHPRA are also prioritising Aboriginal and Torres Strait Islander health practitioners to improve care for Indigenous Peoples across communities.   AHPRA is fast-tracking return to registration for qualified people in priority professions (i.e. doctors, nurses, midwives and pharmacists) who may have recently retired, non-practising or have a small gap in their recency of practice (approximately 40,000 health professionals in total fit this description). The pandemic sub-register will be in place for 12 months and will operate as an opt-out system. The sub-register is expected to be in operation by 6 April 2020. Further information on the pandemic sub-register can be found here: https://www.ahpra.gov.au/News/COVID-19/Pandemic-response-sub-register.aspx.  	All non-urgent elective surgeries have been cancelled to free up space in hospitals. From April 28th 2020, elective surgery will be re-introduced in a staged and controlled manner. <br>Australian Government announced plans to partner with private health sector to secure 30,000 hospital beds in order to deal with the COVID-19 outbreak. 	Visitors and staff are now banned from entering aged care facilities if they have returned from overseas in the past 14 days or have been in contact with someone with a confirmed case of coronavirus in the past 14 days. Anyone with flu-like symptoms are also banned. Family visits are limited to a maximum of two and should not be in communal areas. Temporary workforce will be available and support team in case of emergency. infection control training.  The Federal Govt has  lifted visa restrictions for the international aged care workforce allowing them to work for more than 40 hours a fortnight.   The two major supermarkets have implemented shopping hours dedicated to seniors and those with a disability. 	
Austria	AUT				47.65	14.705	EUR 26 million in grants made available to Austrian businesses conducting research on viral biology and transmission or infection prevention and control; R&D on medicines and other treatments and development of new diagnostic methods; planning and conducting clinical trials. Funds are available through a emergency call by the Austrian Research Promotion Agency (FFG), for projects implemented over a period of no more than 12 months. Funds are provided by the Federal Ministry for Digital and Economic Affairs and Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology.		Austrian-based A1 has granted  government access to customers' cellphone data in an effort to help track the COVID-19 outbreaks. It is unclear how these data will be used and what controls are in place to ensure that privacy is protected (it is virtually impossible to anonymise location data).<br>The government has started diagnostic testing in a representative sample of the population to get a reliable estimate of prevalence of SARS-CoV-2 in the population.  The Austrian Red Cross is offering a mobile app for tracing contacts, based on user-initiated data exchange between phones. The app is currently being developed further to automate data exchange. Various other changes and integration with the European Pepp-PT project are underway.	Section on digital: https://iapp.org/news/a/german-austrian-telecoms-disclose-location-data-for-covid-19-tracking/		Teleconsultations in psychotherapy have been made possible and are covered by social health insurance.		Young men who completed their mandatory year of "civil service", which can be chosen as an alternative to mandatory military service, within the last five years are mobilised to support long-term care and for essntial public services. Civil servants frequently take on roles as paramedics and in social care. While this pool amounts to around 45,000 persons, the government estimates that about 14.600 additional servants can be mobilisd this way. Long-term care relies heavily on staff from Eastern European countries, including Bulgaria, Romania and Slovakia. Some regional governments have announced special flights to bring workers to Austria despite border closures and bonus payments to foreign long-term care staff who remain in Austria.  Federal provinces are setting up additional capacities for hospital inpatient and mobile care, financed through a EUR 100 million fund from the federal government. Another 60 million are granted to the health system and EUR 130 million are given to hospitals for equipment and to finance over-time payments.  Some regional governments, for example, have established care capcity in public facilities such as convention centers. These will provide care for milder cases when hospital capacity limits are reached.<br>From beginning of May, the federal railways will operate special non-stop trains beween Austria and Romania to transport long-term care personnel between their home country and their patients in Austria. These trains will form a 'corridor' through Hungary despite border closures.		On April 16, the Minister of Health announced a plan to test all patients and personnel in retirement and nursing homes. As part of easing of general restrictions, priority risk groups in the population have been defined, i.e. groups of people for whom an infection with Sars-Cov-2 could be particularly dangerous, was presented. These are elderly people and people with specified chronic illnesses, including HIV/AIDS, diabetes, or a severe cardiovascular or lung disease. Below who are not part of the elderly group but have a chronic disease are identified using data on prescription medicines, notified and a physician is asked to assess and confirm individual risk in each specific case. If risk is confirmed, a medical certificatie is provided, entitling the person to special protective measures at work, including prolonged telework, changes to the physical workspace or, if neither of the two is possible, special leave from work and financial support to employers. These rules will apply from early May.	
Belgium	BEL				50.773	4.809		In Wallonie.  56,55M€ for 3m which represents 3500€/trimester/bed allocated to hospitals and 1000€/bed in psychiatric centers.Rest homes will receive 12,5 M€ for 3 months which is equivalent to 250€/trimester/bed to cover extra costs for material and protection of covid+ residents. 1M euros will be given to social centers(night shelters, foster and community living centes). The disability sector will receive 4,6 M for 3months. 	Reminder on rules about e-sick leaves certificates (eMediAtt )<br>The govenrment has asked RIVIZ to develop a guideline for teleconsultations and has formalised procedures such as reimbursement fees, registration codes, etc.  		Policy area: funding/financing. Federal plan of 1 billlion EUR announced to finance hospitals. It should be effective around mid-April.<br>Note that since 12.03.2020, Belgium is in federal phase of crisis management. The Security National Council takes political decisions that are implemented by the sub federal crisis units within the federal Committee of coordination. 		As for the supply of masks, the federal state provides masks for the institutions under its remit (e.g. hospitals). Regions provide masks for nursing homes, centres for disabled, etc. On  18 March: federal state received 5 million masks. On 24 March, federal state received 6 million masks and Wallonia 1 million. Flanders announced a 7 million EUR budget to buy masks.<br>The govenrment has published a list of priority groups for the use of protective materials, incuding healthcare workers working with COVID-19 patients, family doctors, home care workers, other primary care profesionals, 	Health professionals can keep working despite small symptoms if they wear a mask. If temperature >37.5 C, they have to stay home.  <br>In Wallonie. 370 000 masks delivered to  nurses centres.	Since March 14, the active phase of the hospital emergency plan has been activated in all hospitals. This means that all consultations, tests and planned operations have been cancelled . Only urgent and / or vital consultations, examinations and interventions may take place (e.g. chemo, dialysis, ...). Visits are prohibited except for parents of children under the age of 18 and the immediate family of critically ill or palliative patients. Guidance in necessary consultations or investigations should be limited to a maximum of 1 person.<br>Plan of redistribution  for patients in the provinces of Limburg and Hainaut (redirected toward Anvers)	Visits to the 602 nursing homes in Wallonie are forbidden from 11.03.2020, except essential ones. In Flanders, only essential visits (for example from informal caregivers) are allowed. Activities in day centers (non-residential centers) for people with disabilities may also be continued. The personal assistants of people with disabilities also continue their activities.<br>Any elderly arriving to a nursing home has to stay confined 14 days unless it has a certificate of "non contagion" (29.03.2020)	
Brazil	BRA				-11.694	-48.978	For the health system, the package includes increasing resources for the health sector: COP 1 trillion immediately sent to the sector and the announcement of more resources as needed. Private insurers (EPS) were permitted to use they technical reserves to cover the costs of treating COVID19 patients, as they are not receiving income due to the low demand for health care services.		A mobile phone application called "Coronavirus SUS" was created by the National Health System (SUS) to provide information to users about COVID-19. SUS also implemented an online 'chatbot' in its website to respond questions about symptoms and general information related to COVID-19 (e.g. prevention, diagnosis, treatment, fake news). Telemedicine services have been allowed. Physicians can make consultations online and issue electronically signed medical reports or prescriptions.		Diagnostic test and treatment for COVID-19 is free for users of the National Health System (SUS). In the private sector, the price of the test can be taken with a doctors prescription and the price has been registered to be between 249 reais (44€) and 360 reais (63€).	The MoH has prepared two videos for mental health care and strategies to cope with consequences of COVID-19, which are posted on Youtube for everyone to access.	An additional 0.4% of GDP have been assigned to the public healthcare system. Taxes and import duties on goods used by hospitals have been zeroed and import procedures eased. Three reference laboratories can validate the inclusion of other laboratories, public or private, into the national network. The Federal government purchased 10 million rapid diagnostic test kits (March 21) and has distributed dozens of millions of protective equipment for health workers. The Armed Forces laboratories are producing hydroalcoholic gel and chloroquine.  	The programme 'More doctors for Brazil' (Mais médicos para o Brasil) opened a new call for applicants aiming to introduce 5 811 new doctors to reinforce the system, particularly in underserved areas.On March 23, the strategy 'Brazil count on me' (Brasil conta comigo) was approved, allowing students in their last year of training in medical, nursing, physiotherapy and pharmacy schools to exceptionally work in SUS. They will be supported by certified professionals and this will count as points for future postgraduate studies. Other students from these schools	The government announced that 2,000 new ICU beds will be implemented. The Foundation Oswaldo Cruz in partnership with the MoH will build a Hospital Centre for the COVID-19 Pandemic - National Institute of Infectology in Rio de Janeiro, adding 200 beds and hiring over 600 health workers.		
Canada	CAN				59.621	-111.2	CAD 302M in funding pledged by the federal government to fund R&D into vaccines and antiviral treatments and other clinical trials. This is part of the CAD 1B COVID-19 Response Fund.<br>The Government of Canada announced on March 23, 2020, that $275 million would be allocated to support research and large-scale efforts towards countermeasures to combat COVID-19. The funding is facilitating partnerships among various Canadian stakeholders including other government departments, industry and academia to build Canadian capacity to produce domestic supply of potential vaccines and treatments.		The Canadian firm BlueDot, which uses machine learning to search global media for information on various infectious diseases, was one of the first to spot cases of COVID-19. AI (neural network) is being used to detect COVID-19 Cases from Chest Radiography Images.	Section on digital: https://www.technologyreview.com/s/615351/ai-could-help-with-the-next-pandemicbut-not-with-this-one/; https://arxiv.org/pdf/2003.09871.pdf  https://pm.gc.ca/en/news/news-releases/2020/03/11/prime-minister-outlines-canadas-covid-19-response	Ontario is expanding COVID-19 testing to every resident and worker in long-term care homes, as nearly 450 residents have died amid growing outbreaks in the province’s facilities. However, the testing strategy in Canada has great variability across provinces and targeted subgroups of the population.			The Government of Canada will invest $50 million towards the purchase of personal protective equipment (PPE) and other necessary medical supplies and equipment to support federal requirements. Additional PPE supplies—such as nitrile gloves, surgical masks, N95 respirators, face shields, isolation gowns and coveralls—will be made available to help address the anticipated demands on local, provincial and territorial governments and health workers.                                                   Pharmacists have been allowed to extend prescriptions beyond what they were previously allowed to do and to prescribe certain medications to allow doctors to focus on the more important cases and minimise the number of medical consultations.                          <br>Some provinces have facilitated the recognition of qualifications of foreign-trained doctors to mobilise additional workers. In Ontario, international medical graduates (IMG) who have passed their exams to practise in Canada or have graduated in the past two years can apply for a supervised 30-day medical licence (Supervised Short Duration Certificate) to help fight COVID-19. In British Columbia, IMG with at least two years of postgraduate training and who have completed Licentiate of the Medical Council of Canada qualifying exams can work as associate physicians under the supervision of a fully-certified doctor.	The Government of Canada will provide $500 million to provinces and territories for critical health care system needs preparedness and mitigation efforts.		
Chile	CHL				-23.176	-69.201		A EUR 235 million fund was created to finance the purchase of necessary supplies and equipment, strengthening the operation of hospitals and diagnostic laboratories, the extension of emergency service hours, the provision of additional beds, and build up of fast construction hospitals, amongst other needs.	The Superintendency of Health has allowed medical consultations to be conducted using telemedicine, both to new and follow-up consultations.	https://www.gob.cl/coronavirus/plandeaccion/; https://www.minsal.cl/nuevo-coronavirus-2019-ncov/informe-tecnico/	The PCR test for COVID-19 made for public health purposes, such as the one taken at the airport, is free. Meanwhile, those who wish to take the test voluntarily and are affiliated with the public insurer (FONASA), may do so in a public hospital. Since March 24, the test is free for them too. People who are affiliated to a private insurer (ISAPRE), will be able to reimburse this benefit from their respective institution, according to what has been enforced by the Superintendency of Health. The maximum co-payment is set at €27. 	On April 12, a guideline for emotional wellbeing was published the Ministry of Health with mental health recommendations for children, adolescents, people who telework, and the elderly.	The number of laboratories capable of diagnosing COVID-19 was increased to 55. Funds were freed up to buy 600 new ventilators, which will be complemented with 400 more coming from donations. The National Health Procurement Agency (CENABAST) was allowed to directly purchase medicines and other critical  implements without the regular bidding process, and will accelerate the delivery of personal protection equipment for emergency services and primary health care staff. The Ministry of Science, Techonology, Knowledge and Innovation is incentivising efforts to build ventilators at the national level. The government will issue "recovered cards" to all people who has been qualified as recovered from COVID19, according to a criteria set by the MoH in consultation with an experts advisory committee. The use of masks is mandatory for all the population in public and private transport, and in any place where there are more than 10 people (e.g. healthcare centres, supermarkets, pharmacies).	Flexibilities in the way new health workers can be hired to join the public health system; recalling retired professionals; allowing students in advance stages of medical and nursing training to start practising. Antibody tests will be applied in health workers to explore the presence of immunity.	From April 1, the integrated health network for COVID19 is at place, meaning that public and private hospitals are managed by the Ministry of Health. The price paid by the government for a private hospital bed and for renting private spaces for quarantines was fixed by decree. Hospital capacity will be reinforced by speeding up the completion of five new hospitals and other facilities, expecting to move from 37 000 beds to more than 41 500. For people who must be quarantined, 2400 beds have been installed in 42 sanitary hostels. Ambulatory surgeries were allowed once again on April 29 in relation to the GES regime, but other elective surgeries are postponed in cases where delay does not imply a significant health risk.	The government ordered a national quarantine for people of 80+ years old.Visits to long-term care facilites for the eldery are strictly limited. All face-to-face meetings in day-care centres, clubs and similar organisations for the elderly are forbidden. A special telephone line was implemented to provide emtional containment for the elderly. The campaing 'Count on me' (Cuenta Conmigo) was launched offering models of how volunteers in the community can assist elders in activities such as grocery shooping, medications, pet related support, etc. On April 26, the National Service for the Elderly (SENAMA) in collaboration with private and religious entities announced the creation of transitory residences to quarantine elderly people living in long-term care facilites who have contracted COVID19.  	
China	CHN				33.097	107.771			Chinese Taiwan is using real-time health data from existing insurance coverage databases, linked to other data such as customs and immigration data. During clinical visits, when health care providers scan patients’ health insurance cards, an alert can be issued based on patients’ travel history and clinical symptoms. This data can be analysed to identify and test patients for COVID-19 who had severe respiratory symptoms. China mobilized digital tools, from drones to CCTV cameras, to monitor quarantined people and track the spread of the coronavirus. Digital  technologies  are  also  emerging  to  increase  the  speed  and  volume  of  testing  of  suspected  cases.  AI  models  developed  in  China  learn  from  CT  scans  to  support  faster  interpretation  of  images. Chinese Hong Kong using telemonitoring. A hospital in China has a ward that is completely automated.	Section on digital: https://jamanetwork.com/journals/jama/fullarticle/2762689; https://www.cnbc.com/2020/03/27/coronavirus-surveillance-used-by-governments-to-fight-pandemic-privacy-concerns.html; https://pubs.rsna.org/doi/pdf/10.1148/radiol.2020200905; https://www.fiercehealthcare.com/tech/boston-startup-using-ai-remote-monitoring-to-fight-coronavirus; https://www.newscientist.com/article/2236777-coronavirus-hospital-ward-staffed-entirely-by-robots-opens-in-china/							
Colombia	COL				3.794	-73.606		For the health system, the package includes increasing resources for the health sector: COP 1 trillion immediately sent to the sector and the announcement of more resources as needed. 	Decree 538 published on April 12 regulates and boosts telemedicine to provider health care services across the country. The government launched "Coronapp", a mobile phone application to make a self-assessment of symptoms, receive information and track people with the disease.		All diagnostic tests are free of charge for patients complying with the criteria set by the MoH.		From the 17th of March, a state of economic and social emergency has been declared. A broad package of measures has been announced. The resources should facilitate the acquisition of medical equipment, enlarge testing capacities and provide liquidity to the hospital network. Starting from April 1, Colombia will deploy 350 000 rapid tests per week as a screening measure for COVID-19; the one's testing positive, will then receive a PCR test to confirm. The government purchased 1 510 ventilator units of an estimated need of 7 500. From April 4, supplies are allowed to purchase in the public sector using the rules of the private sector. The Ministry of Commerce called for the national industry to produce personal protective equipment for health workers and created a registry for producers to sign up. Decree 538 published on April 12 regulated the amounts to be paid for care in the system. The government eliminated the VAT on the imports and sales of personal protective equipment and technology considered important for the response. Two new robots (Hamilton) were acquired by the National Health Institute allowing to process around 2 300 samples per day.	COVID-19 in health workers will be protected with the scheme of professional disease and additional personal protection equipment have been acquired for them. A special bonus was also announced by the MoH for health workers dealing with COVID-19 tasks. In Bogota, a pilot of the programme "For the ones who take care of us" (Por los que nos cuidan) was started to provide support for healthcare workers to have accomodation with all included near to the healthcare centre they work. The government also decided to pay all the payment owed to health workers for a total sum of 64 million Euros.	The President announced there are plans for having more beds across the country, aming to increase by 300% the capacity of ICU beds. Decree 538 published on April 12 reinforced the use of new spaces for providing care.	Preventive quarantine for all people over 70 years old until May 30. The MoH developed specific guidelines for people and institutions taking care of elderly population. Visits to long-term care facilities have been forbidden.	
Costa Rica	CRI				10.126	-84.075			The National Centre of Rehabilitation (CENARE) as well as other hospitals have implemented teleconsultations for COVID-19 and to follow-up other patients.		Costa Rica has defined that all diagnostic test and treatment due to COVID-19 will be free for all their inhabitants.	On March 16, the MoH published the guidelines for mental health and psychosocial support in the context of the health emergency of COVID-19. 	The government has destined USD 11.5 million for new protective equipment for health workers. The Social Security Institute (CCSS) was allowed to use direct purchasing mechanisms to spend over USD 2 million for equipment such as ventilators, videolaringoscopes, etc. Laboratory capacity was installed in three major public hospitals in the country, and recently more private laboratories joined the network, for a capacity of aorund 550 tests per day. The Social Security Institute (Caja) has purchased 10 750 COVID-19 tests. The government hired a private plane to bring the personal protection equipment donated by the government of China, which includes disposable gowns, N-95 masks, medical surgical masks, safety glasses, gloves, and disposable boots. Different donations of personal protective equipment have been received internally coming from, for instance, the National Institute of Learning. In addition, the CCSS received the first 30 000 masks bought to national industry, which is a signal of internal production of this type of products. On April 23, the government announced that Costa Rica will develop their own tests to identify SARS-CoV-2 in the country.	The MoH has higher levels of flexibility for hiring new health workers to respond to the needs of the COVID-19 demand.	The National Centre of Rehabilitation (CENARE) has been reconverted into the Specialised Centre for COVID-19 Patients (CEACO) that will centralise care to increase effectiveness and efficiency. Elective surgeries have been suspended in most public hospitals. The goal of the government is to reserve 2000 beds for Covid-19 patients. The Costa Rican Social Security Fund (CCSS) has 555 ventilators for adults and 92 for children. Purchase of 311 new ventilators are ordered with delivery times ranging from now and early June.	The government developed a plan for the elderly living in long-term care homes and to help the elders diagnosed with COVID-19. Food support for elders receving it from day care centres will receive it at home. Home care has been implemented for almost 15 000 elders. On April 24, a strategy for integral care of the elderly that includes mental health, health care and nutrition, and will consider telephone follow-up and visits in each territory.	
