ISO3	src	update	xls_saved	lat	lng	Country	Confinement__Confinement-measures	Social-Measures__Reducing-workers-exposure-to-Covid-19-in-the-workplace	Social-Measures__Income-support-to-sick-workers-and-their-families	Social-Measures__Income-support-to-quarantined-workers-who-cannot-work-from-home	Social-Measures__Helping-dealing-with-unforeseen-care-needs	Social-Measures__Income-support-to-persons-losing-their-jobs-or-self-employment-income	Social-Measures__Helping-firms-to-adjust-working-time-and-preserve-jobs	Social-Measures__Financial-support-to-firms-affected-by-a-drop-in-demand	Social-Measures__Changes-to-dismissal-regulation	Social-Measures__Helping-economically-insecure-workers-stay-in-their-homes	More__Government-links-for-more-details
AUS		April 9, 2020		-24.578	133.582	Australia	A variety of facilities will be closed for at least the next six months, including restaurants, cafés, gyms, sporting venues and places of worship. Schools still remain open, but some state governments (notably Victoria, New South Wales and the Australian Capital Territory) have signalled an intention to unilaterally embark on school closures. 					Temporary expansion of eligibility for income support payments and the establishment of a new, time-limited Coronavirus supplement to be paid at a rate of A$550 per fortnight. This will be paid to both existing and new recipients of various government benefits. The supplement will be paid for the next six months. Social security and veteran income support recipients and eligible concession card holders who do not receive the Coronavirus supplement payment will receive a $750 one-off payment (in addition to a $750 one-off payment already announced in the government’s first stimulus package). The Government has also taken measures to support retirees.	Wage subsidy to businesses (A$130bn or 6½% of GDP) to encourage them to keep workers in jobs. A “JobKeeper Payment” of A$1,500 per fortnight per eligible employee will be paid to the business under the condition that every eligible employee receives at least A$ 1,500 per fortnight from the business. The Jobkeeper Payment covers full-time and part-time employees, as well as employees stood down ahead of the commencement of the scheme, casual employees who have been employed for at least 12 months and the self employed. Eligible businesses are those with a turnover of less than A$1 billion that can demonstrate a 30% decline in turnover relative to a comparable month one year ago (firms with turnover of greater than A$1 billion must demonstrate at least a 50% reduction in turnover).  The Government is supporting small business to retain their apprentices and trainees. Eligible employers can apply for a wage subsidy of 50 per cent of the apprentice’s or trainee’s wage for 9 months from 1 January 2020 to 30 September 2020. Where a small business is not able to retain an apprentice, the subsidy will be available to a new employer that employs that apprentice	The Government plan to support businesses in managing short-term cash flow challenge is manifold: - Boosting Cash Flow for Employers: up to $100,000 to eligible small and medium-sized businesses, and not-for-profits (NFPs) that employ people, with a minimum payment of $20,000. - Temporary relief for financially distressed businesses: The Government is temporarily increasing the threshold at which creditors can issue a statutory demand on a company and to initiate bankrupt proceedings against. - Increasing the instant asset write-off from $30,000 to $150,000 and expanding access to include businesses with aggregated annual turnover of less than $500 million (up from $50 million) until 30 June 2020. - Backing business investment: time-limited 15 month investment incentive (through to 30 June 2021) to support business investment and economic growth over the short term, by accelerating depreciation deductions. - Co-ordinated actions have been taken by the Government, the Reserve Bank of Australia and the Australian Prudential Regulatory Authority to ensure the flow of credit in the Australian economy.		Temporary suspension of evictions from rental properties (for 6 months)  Major banks have agreed to allow households to postpone mortgage repayments temporarily, with interest capitalisation. 	https://treasury.gov.au/sites/default/files/2020-03/Overview-Economic_Response_to_the_Coronavirus_0.pdf https://www.parliament.nsw.gov.au/bill/files/3741/Passed%20by%20both%20Houses.pdf 
AUT		March 23, 2020		47.65	14.705	Austria	All shops except for essentials are closed until further notice, schools are closed, travel restrictions, large gatherings are restricted	Occupational hygiene measures, organizational measures and personal protective measures to protect employees from risks related to exposure to biological agents were clarified with decree 			Workers with children under 14 can get additional leave up to three weeks. Until end of April, the government will reimburse employers for one third of wages for workers who take this special leave. Some schools and childcare facilities remain open, with a skeleton staff, to look after children of essential service workers.	Applications for unemployment benefit and unemployment assistance can now be submitted to the PES (AMS) online or by phone without a personal visit	New type of short-time working scheme, called "Corona Kurzarbeit", available for six months: • In the case of "temporary, non-seasonal" economic difficulties (e.g. caused by a drop in sales) due to the corona virus, company employees have the option of reducing their working hours by 10-90% for 3+3 months (in the calculation period, working hours can also be reduced to 0 hours temporarely). • The financial means are available for small and large companies in all sectors; a social partner agreement is a prerequisite for the use of the „Covid19-short-time work“ and the holiday entitlements and time credits of the employee must be used up in advance. • Employers must undertake to pay short-time compensation at least until 90% (for a gross salary up to € 1700), 85% (for a salary up to € 2685) and 80% (for a salary between € 2685 and € 5370) of the previous net salary; in the end, the financial burden of the companies (e.g. through social security contributions) through Covid19-short-time-work remains very low.  • The employment level in the companies must be maintained during the „Covid19-short-time-work“ and one month beyond. • It should be possible to agree short-time working with the Public Employment Service-PES (AMS) within 48 hours. 	EUR 100 million to guarantee loans for SMEs in the tourism sector to alleviate liquidity concerns. Another EUR 10 million aside to guarantee loans. Tax payments have been deferred. The government also announced regulatory reforms to temporarily offer relief for financially distressed firms. The threshold at which creditors can issue a statutory demand on a company and the time companies have to respond to statutory demands have been temporarily increased. The package also includes temporary relief for directors from any personal liability for trading while insolvent. 			https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Rechtliches.html   https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Maßnahmen.html  
BEL		April 3, 2020		50.773	4.809	Belgium	Schools are closed, non-essential shops and public spaces are closed, large gatherings are banned.	Teleworking compulsory in non-essential sectors, and encouraged in essential sectors when possible. When telework is not possible, employers need to guarantee a social distance of at least 1.5 meters.		- Temporary unemployment available and the associated benefits are increased from 65% to 70%.  - Temporary unemployment due to force majeure extended by three months, until June 30, 2020. - Allowance from the National Employment Service of EUR 5.63 per day (on top of benefits) for temporary unemployed 	People who have to stay at home because a household member is infected can also get Temporary unemployment	- Replacement income for self-employed who were forced to stop their activity.  - Revision of tax pre-payment amount possible for self-employed whose income is projected to be lower than the one used as reference for the pre-payment calculation.  - Possibility of postponement, or full or partial exemption of social security contributions for self-employed.  - Benefits for employees on temporary unemployment are increased from 65 % to 70% for a period of three months on, and temporary unemployed receive an additional daily allowance from the National Employment Service  Flanders:  - Encouragement premium given to workers who see a reduction in working hours in firms that experience a fall of 20% or more in revenues, production or orders (available from April to June 2020). 	- Temporary unemployment is automatic now, meaning that employers do no longer need to justify it - EUR 5.63 per day is given to those in temporary unemployment (on top of the 70% of their wage) - No longer a difference between temporary unemployment due to force majeure and economic reasons  Flanders:  - Encouragement premium given to workers who see a reduction in working hours in firms that experience a fall of 20% or more in revenues, production or orders (available from April to June 2020). 	Flanders: - EUR 100 million for loan guarantees. The aim is to make it easier for firms to get credit from banks to finance their working capital. - Obstruction premium: Firms that need to close, are entitled to a one-off EUR 4000 payment, and additional compensation of EUR 160 per day beyond 21 days of closure. This also holds for restaurants that continue their operations through take-away  		Mortgage repayments may be postponed until 30 September 2020 (without penalties) for households affected by Covid-19  Extension of the seasonal suspension of evictions from dwellings (la trêve hivernale).  Some jurisdictions will temporarily cover utility costs for households with a worker facing temporary employment; utilities (water, gas, power) will not be disconnected during the Covid-19 crisis. 	https://www.info-coronavirus.be/en  Federal: https://economie.fgov.be/fr/themes/entreprises/coronavirus/informations-pour-les/coronavirus-reduction-des   Flanders: https://vlaio.be/nl/begeleiding-advies/moeilijkhedencoronavirus/specifieke-maatregelen-mbt-het-coronavirus/coronavirus  Wallonia: https://www.1890.be/article/coronavirus-quelles-mesures-pour-leconomie-et-lemploi-en-wallonie https://www.premier.be/fr/Dix-mesures-pour-soutenir-les-entreprises-et-les-independants-dans-le-cadre-du-Covid-19  https://www.nbb.be/en/articles/guarantee-scheme-individuals-and-companies-affected-corona-crisis
CAN		March 27, 2020		59.621	-111.2	Canada	Schools and university are closed, travel restrictions, ban on large gatherings.	Where feasible, adjust policies to reduce social contact, such as: flexible hours, staggering start times, teleworking arrangements, using email and teleconferencing. Employers are responsible for protecting the health and safety of employees at work. They are required to implement preventative measures to ensure employees are not exposed to conditions that could be harmful to their health or safety while working.	Relax sick leave policies to support employees in self-isolating when ill. This includes suspending the need for medical notes and reduces the burden on an already stressed health care system. waiving the one-week waiting period for Employment Insurance sickness benefits. 	Employment Insurance (EI) sickness benefits provide up to 15 weeks of income replacement and is available to eligible claimants who are unable to work because of illness, injury or quarantine, to allow them time to restore their health and return to work. 	Temporarily boost to the Canada Child Benefit. To help parents with the cost of raising children, the Government of Canada is providing a one-time enhancement to CCB. This means that families that are currently eligible for the CCB will receive an extra $300 per child as part of their May 2020 payment. The overall increase for families receiving the child benefit will be approximately $550 on average. In total, this measure will deliver almost $2 billion in extra support.	The federal government will provide workers who lose income because of the COVID-19 pandemic $2,000 a month for the next four months under the Canada Emergency Response Benefit (CERB). Additional emergency support benefit for self-employed and part-time workers who do not qualify for Employment Insurance.  Temporary Increase to the Goods and Services Tax Credit (GSTC): The Government of Canada is providing additional support to those who may require more help with their finances because of the impacts of COVID-19. For over 12 million low- and modest-income families, the Government is providing a one-time special payment in May through (GSTC). The average boost to income for those benefitting from this measure will be close to $400 for single individuals and close to $600 for couples. In total, this measure will deliver almost $5.5 billion in extra support. 	Government of Canada’s COVID-19 Economic Response Plan, will provide up to $27 billion in direct support to Canadian workers and businesses. The measures allows for eligible employers to retain skilled employees and workers to remain employed during the temporary downturn in business due to COVID-19 	• Loans: The Business Credit Availability Program (BCAP) will allow the Business Development Bank of Canada (BDC) and Export Development Canada (EDC) to provide more than CAN 10 billion of additional support, largely targeted to small and medium-sized businesses. Other credit and liquidity support through financial Crown corporations, Bank of Canada (reduced its interest rate to 0.75%), OSFI, CMHC and commercial lenders – estimated cost in the range of CAD 500 billion. • Postponement of income tax payments:  Canada Revenue Agency will allow all businesses to defer, until after August 31, 2020, the payment of any income tax amounts that become owing on or after today and before September 2020. 		The Canada Mortgage and Housing Corporation (CMHC) launched a revised  Insured Mortgage Purchase Program, whereby the government will purchase up to CAD 50 billion of insured mortgage pools through CMHC, in order to provide stable funding to banks and mortgage lenders to ensure continued lending to Canadian consumers and businesses  Temporary suspension of eviction notices in some provinces (e.g. Ontario)  Doubling of the Reaching Home Program that provides funding for the homeless and establishment of a fund to help Indigenous communities.	https://www.canada.ca/en/public-health/services/diseases/coronavirus-disease-covid-19.html  https://www.canada.ca/en/department-finance/economic-response-plan.html 
CHL		April 14, 2020		-23.176	-69.201	Chile	National curfew from 22:00 to 05:00 hrs. Prohibition of transit to second homes, especially to those locations that concentrate high density. Obligatory return of people who have moved into these homes. A total confinement in 7 "comunas" of the Metropolitan Region (from 26/3) and in 9 "comunas" in the south of the country (from 30/3) has been decided. Several small villages (inc. Easter Island) have been isolated from the rest of the country. Confinement extended until 9 April. The confinement applies to over 80 people in the whole country. From 13 April, a new strategy, consisting in rotating confinement, limited to some communes and to some time, was adopted.	A massive campaign of vaccination against seasonal flu started on 16 March. Employers are responsible for protecting the health and safety of employees at work. They are required to implement preventative measures to ensure employees are not exposed to conditions that could be harmful to their health or safety while working.	Unemployment insurance extended to those who are sick and unable to work from home, without termination of contractual link.	A Covid-19 Law project was announced through which the payment of salaries will be guaranteed for those people who must remain at home without the possibility of carrying out the work remotely. 		Bonus that will benefit two million people who receive the Single Family Grant (SUF). The 8 April, the government announced a plan involving resources for 2 additional USD Bilion to support about 2.6 million informal workers. Implementation details are still to clarify.	The unemployment insurance fund can also be used to compensate the reduction in earnings due to reduced working hours.	Economic plan involves resources of almost US$ 12 billion, 4.7% of GDP, to help small and medium-sized enterprises (SMEs) face and overcome this crisis. A new capitalization plan of Banco Estado for 500 million dollars to grant more credits and the extension of state guarantees for loans, reinforced with additional 3000 million the 8 April. Tax relief with suspension of second quarter provisional monthly payments (PPM). Postponement of VAT payment for companies with sales under 10 billions chilean pesos. Early income tax refund, postponement of income tax to July.			https://www.gob.cl/coronavirus/
CZE		April 14, 2020		49.848	14.717	Czech Republic	With effect until the end of the state of emergency, it is instructed to restrict movement in publicly accessible places for as long as necessary to limit contacts with other persons to the necessary extent, to stay in publicly accessible places for a maximum of two persons, except for household members, occupation, business or other similar activity, attendance at a funeral, and keep at least two meters apart when in contact with others.   As of Tuesday 7 April, individual outdoor sports have been allowed. When respecting keeping a safe distance of two meters and the presence of a maximum of two people, these sports can be performed without respiratory protection.   All persons have to wear protective equipment (nose, mouth) such as a respirator, face mask, scarf or other means.	Employers are responsible for protecting the health and safety of employees at work. They are required to implement preventative measures to ensure employees are not exposed to conditions that could be harmful to their health or safety while working.		Employees ordered into quarantine will receive 60 % of their salaries and the government will reimburse the company in full. 	Care allowance prolonged for the whole period of school closure and children age limit increased to 13 years. The state will also help self-employed persons, who are taking care of a child from 6 to 13 years of age and are not able to go to work due to the coronavirus, by 424 CZK per day. The Government also extended payment of the care allowance to people taking care of disabled persons, regardless of age, if the facility designed for their care has closed.  	Compensation Bonus, which will directly support self-employed persons with the amount of CZK 25,000. This will be paid if the following conditions are met: a) it is a self-employed person according to the pension insurance law, b) the activity performed is the principal activity (under clearly defined conditions it may also be an ancillary activity), c) the decrease in gross sales during the period from January to March 2020 was at least 10% compared to the period from January to March 2019 (if a business was set up after January 2019, the comparison counts for the first 3 months period after setting up the business), d) the entity achieved at least CZK 180,000 of gross income in 2019 or at least CZK 15,000/month in case the business was set up after January 2019. For the self-employed, the health and social insurance payments are suspended/forgiven for 6 months (March – September). For many taxes, deadlines for submissions of tax proclamations and for payment of the tax has been postponed (or sanctions will not be applied). 	Support programme “Antivirus” introduced. STW is envisaged in Czech Labour Code (§ 209). Within this programme, employers can be partially compensated (50-80%, depending on the reason) for wage costs in case of work obstacles on the side of the employees and/or the employers (for example when employees cannot work due to ordered quarantine or when employer is unable to assign work to workers due to extraordinary emergency measures adopted by the Government related to outbreak of COVID-19, for example closure of business due to limited supply of raw materials, limited demand, high share of employees in a quarantine or staying home with their children). 	Proposed waiver of the advance payments for corporate tax in June. Introduction of the institute of tax return retroactivity - entrepreneurs will be able to recover any loss reported in 2020 in their tax bases in 2019 and 2018, thereby obtaining a refund from the Financial Administration.  Moratorium proposal on the repayment of loans and mortgages signed before 26 March 2020, which will be binding on all banks and non-banking companies, has been adopted. Both natural persons and corporate debtors will be able to suspend their repayments for three or six months, based on their choice. The debtor has to notify this intention to its creditor by declaration that he/she/it is taking this action because of the negative economic impact of the coronavirus pandemic. However, he/she/it will not have to prove these reasons. Companies who were forced to close their premises due to government orders, will be entitled to postpone their rents. The deferral will apply from 12 March to 30 June and deferred payments will have to be paid back within 2 years. Also, a ban on ending the rent contract of people who are not able to pay rent due to financial distress caused by Covid-19 epidemic, has been adopted 			https://www.mzcr.cz/cizinci/dokumenty/questions-and-answers-in-relation-to-the-coronavirus-in-the-czech-republic_18649_2649_23.html https://www.vlada.cz/en/media-centrum/aktualne/measures-adopted-by-the-czech-government-against-coronavirus-180545/
DNK		March 25, 2020		56.113	9.096	Denmark	Schools and universities are closed, all non-essential shops and public spaces are closed, gatherings (+10 persons) are banned, social distancing measures. First phase of re-opening in the week of 17 of April.	All public sector employees are asked to remain at home until April 14, except for those in critical functions. Private sector employers are encouraged to use teleworking and let employees take annual leave as much as possible; schools are closed and large events are restricted	Sick leave benefits for people with COVID-19 will be fully covered by the government. Normally, employers pay the first 30 days of sick leave and self-employed have a two-week waiting period. Both are suspended.	Social partners have agreed on exceptions from collective agreements to allow employers to force people to go on holiday (mainly in hotels and restaurants).	Some schools and childcare facilities remain open, with a skeleton staff, to look after children of essential service, children of workers in the private sector that are not sent home or socially vulnerable children.	Self-employed and freelancers experiencing a drop in turnover of more than 30% can get cash support amounting to 75% of the loss (max EUR 3 100 per month). The scheme runs for three months. For workers in unemployment or on sick leave benefits, the remaining entitlement period will be frozen for three months and all job search and activation requirements are cancelled. For students, that often have a part-time job, the limit on the student loan facility has been increased.  Possibility for employees in hotels and restaurants to participate in online VETof 30 days duration instead of being laid off.	A short-time work scheme is available as in other countries and has been made more flexible and allocated more resources. A tripartite agreement on wage subsidies was reached with social partners on March 15. For firms experiencing large falls in demand, the employees can be sent home and the government will cover 75% of the salary (maximum EUR 3 100), if the firm promises not to lay off any workers for economic reasons. Firms will also have to cover the remaining 25% to ensure employees can keep their full salary. For hourly workers (with no notice period) the compensation rate is 90% (maximum EUR 3500). Employees contribute by taking five days of mandatory annual leave. The scheme is so far available for three months.	Firms with a drop in turnover of more than 30% can get cash support to cover part of their fixed costs ( 75% but maximum EUR 3 100), full compensation of fixed costs are provided to firms forced to temporarily close due to the lockdown. The scheme runs for three months.			https://politi.dk/en/corona-virus-covid-19-in-denmark https://virksomhedsguiden.dk/erhvervsfremme/content/temaer/coronavirus_og_din_virksomhed/
EST		March 30, 2020		58.777	25.977	Estonia	Schools are closed, travel restrictions, up to 2 people together keeping 2m distance from others, shopping malls closed, stricter restrictions in certain locations.	Teleworking encouraged when possible	Sick pay for the first 3 days of illness (normally not covered).			Social tax covered for self-employed for the first quarter of 2020.	A wage subsidy to employees whose employers are significantly impacted by the current situation. The amount of the subsidy is 70% of the average monthly wage (max €1000). The employer has to pay at least €150 to the employee. Available for companies with at least 30% fall in turnover, who does not have work for 30% of its employees and who have reduced employees' salaries by at least 30%. The scheme can be used for two months.	Measures to tackle liquidity issues. Reimbursements for cancelled events in sports and culture. Additional financial measures (loan guarantees, operating loans and land capital) in agriculture.			https://www.terviseamet.ee/en/covid19
FIN		April 2, 2020		62.716	26.192	Finland	Schools are closed, travel restrictions, large gatherings are banned				For now nurseries and day-care centres are open, but the parents are advised to keep their children at home.  	Temporary recognition of entrepreneurs and freelancers as unemployment benefit recipients. Elimination of waiting period for unemployment benefits. Special guidelines to municipalities granting supplementary and preventive social assistance (prioritization of cases totally without other incomes, granting preventive social assistance if there are delays granting basic social assistance in Kela/Social Insurance Institution), municipalities are not recommended to apply reductions of social assistance due to non-compliance (e.g. person refuses to accept a work offer or does not participate in training or certain other activating or integration measures). 	Temporary lay-off procedures (STW) have been fastened to avoid bankruptcies (i.e. the notice period will be shortened from 14 to five days).	Loan guarantees for firms (4% of GDP), most notably via Finnvera, the state’s financing and export credit company. Increase of grants (0.1% of GDP): the public funding agency Business Finland's grant authorisations will be increased to permit immediate business support measures. 			https://valtioneuvosto.fi/en/information-on-coronavirus
FRA		April 10, 2020		46.656	2.543	France	Strict confinement measures taken including fines for not complying, only essential shop will remain open. Need a Attestation de déplacement dérogatoire to leave the house or else a fine can be given	Teleworking encouraged when possible	Coverage of paid sick-leave (without firm cost-sharing) of workers who will have to stay home to take care of their children		Parents affected by school closure and/or self-isolation will be entitled to paid sick leave if no alternative care or work (e.g. teleworking) arrangements can be found.   Some schools and childcare facilities remain open, with a skeleton staff, to look after children of essential service workers.	Creation of a solidarity fund for small companies. Coverage of very small businesses (turnover < €1M), self-employed workers and micro entrepreneurs experiencing a very sharp drop in turnover (70% loss between March 2020 and March 2019) or subject to administrative closure. Unemployed people will continue receiving their benefits and the confinement period will not be counted in the calculations of unemployment benefit rights (including for the so-called intermittents du spectacle). Temporary agency workers will be paid for the entire duration of their assignment as initially foreseen even if they cannot work because of the confinement measures. People who quit a job for another one but could not be hired for the crisis are granted exceptional access to the unemployment insurance. Craftsmen and retrail traders will get a one-off tax-free payment of max 1250 euros (financed by drawing on the supplementary pension scheme for these self-employed workers thanks to an agreement with the employers' association).	Extension of short-time work schemes (including domestic work) through higher coverage of workers’ payments (100% at the minimum wage and 84% of higher gross wages  up to a maximum of 4.5 SMIC) and the absence of cost sharing for firms and granting companies a period of thirty days to file their request, with retroactive effect; solidarity fund will cover up to 80% of their net income. Some derogations to maximum working hours to allow essential services to work more hours if need be. Companies may also impose annual leave to all employees.	Postponements of social security contributions and corporate/personal income tax payments for firms and entrepreneurs, and, on a case-by-case basis, exemptions from these payments. Up to EUR 300 billion of public guarantees (12.4% of GDP) for business loans	Economic dismissals will be subjected to increased scrutiny.	Extension of the seasonal suspension of evictions from dwellings (la trêve hivernale).  The government has requisitioned hotel rooms for homeless people to be used for confinement.   Extension of emergency housing spaces that are made available during the winter period; in addition, 7,000 beds previously available only in the winter will be made available all year long.	https://www.gouvernement.fr/info-coronavirus https://www.cohesion-territoires.gouv.fr/en/node/44540
